year,overall_pick,team,player,position,games_played,point_shares
2024,86,Columbus Blue Jackets,Luca Marrelli,D,0,0.0
2024,87,Nashville Predators,Miguel Marques,RW,0,0.0
2024,88,Seattle Kraken,Kim Saarinen,G,0,0.0
2024,89,Utah Hockey Club,Tomas Lavoie,D,0,0.0
2024,90,Washington Capitals,Eriks Mateiko,LW,0,0.0
2024,91,New Jersey Devils,Herman Träff,RW,0,0.0
2024,92,Chicago Blackhawks,Jack Pridham,RW,0,0.0
2024,93,Vancouver Canucks,Melvin Fernström,RW,0,0.0
2024,94,Nashville Predators,Hiroki Gojsic,RW,0,0.0
2024,95,St. Louis Blues,Adam Jecho,C,0,0.0
2024,96,Utah Hockey Club,Veeti Väisänen,D,0,0.0
2024,97,Florida Panthers,Matvei Shuravin,D,0,0.0
2024,98,Utah Hockey Club,Gregor Biber,D,0,0.0
2024,99,Nashville Predators,Jakub Milota,G,0,0.0
2024,100,Anaheim Ducks,Alexandre Blais,C,0,0.0
2024,101,Columbus Blue Jackets,Tanner Henricks,D,0,0.0
2024,102,Montréal Canadiens,Owen Protz,D,0,0.0
2024,103,Utah Hockey Club,Gabe Smith,C,0,0.0
2024,104,Ottawa Senators,Lucas Ellinas,LW,0,0.0
2024,105,Seattle Kraken,Ollie Josephson,C,0,0.0
2024,106,Calgary Flames,Trevor Hoskin,RW,0,0.0
2024,107,Philadelphia Flyers,Heikki Ruohonen,C,0,0.0
2024,108,Buffalo Sabres,Luke Osburn,D,0,0.0
2024,109,Winnipeg Jets,Kevin He,LW,0,0.0
2024,110,Boston Bruins,Elliott Groenewold,D,0,0.0
2024,111,Pittsburgh Penguins,Chase Pietila,D,0,0.0
2024,112,Ottawa Senators,Javon Moore,LW,0,0.0
2024,113,St. Louis Blues,Tomas Mrsic,C,0,0.0
2024,114,Washington Capitals,Nicholas Kempf,G,0,0.0
2024,115,New York Islanders,Dmitry Gamzin,G,0,0.0
2024,116,San Jose Sharks,Christian Kirsch,G,0,0.0
2024,117,Ottawa Senators,Blake Montgomery,LW,0,0.0
2024,118,Tampa Bay Lightning,Jan Golicic,D,0,0.0
2024,119,New York Rangers,Raoul Boilard,C,0,0.0
2024,120,Toronto Maple Leafs,Victor Johansson,D,0,0.0
2024,121,Colorado Avalanche,Jake Fisher,C,0,0.0
2024,122,Minnesota Wild,Aron Kiviharju,D,0,0.0
2024,123,Buffalo Sabres,Simon-Pier Brunet,D,0,0.0
2024,124,Carolina Hurricanes,Alexander Siryatsky,D,0,0.0
2024,125,Vancouver Canucks,Riley Patterson,C,0,0.0
2024,126,Detroit Red Wings,Landon Miller,G,0,0.0
2024,127,Nashville Predators,Viktor Norringer,LW,0,0.0
2024,128,Tampa Bay Lightning,Hagen Burrows,RW,0,0.0
2024,129,Florida Panthers,Simon Zether,C,0,0.0
2024,130,Montréal Canadiens,Tyler Thorpe,RW,0,0.0
2024,131,San Jose Sharks,Colton Roberts,D,0,0.0
2024,132,Colorado Avalanche,Louka Cloutier,G,0,0.0
2024,133,Carolina Hurricanes,Oskar Vuollet,LW,0,0.0
2024,134,Montréal Canadiens,Mikus Vecvanags,G,0,0.0
2024,135,Utah Hockey Club,Owen Allard,C,0,0.0
2024,136,Ottawa Senators,Eerik Wallenius,D,0,0.0
2024,137,Colorado Avalanche,Ivan Yunin,G,0,0.0
2024,138,Chicago Blackhawks,Joel Svensson,C,0,0.0
2024,139,New Jersey Devils,Max Graham,C,0,0.0
2024,140,Minnesota Wild,Sebastian Soini,D,0,0.0
2024,141,Seattle Kraken,Clarke Caswell,LW,0,0.0
2024,142,Minnesota Wild,Chase Wutzke,G,0,0.0
2024,143,San Jose Sharks,Nate Misskey,D,0,0.0
2024,144,Detroit Red Wings,John Whipple,D,0,0.0
2024,145,St. Louis Blues,William McIsaac,D,0,0.0
2024,146,New Jersey Devils,Veeti Louhivaara,G,0,0.0
2024,147,New York Islanders,Marcus Gidlöf,G,0,0.0
2024,148,Philadelphia Flyers,Noah Powell,RW,0,0.0
2024,149,Tampa Bay Lightning,Joona Saarelainen,C,0,0.0
2024,150,Calgary Flames,Luke Misa,C,0,0.0
2024,151,Toronto Maple Leafs,Miroslav Holinka,C,0,0.0
2024,152,Toronto Maple Leafs,Alexander Plesovskikh,LW,0,0.0
2024,153,Utah Hockey Club,Ales Cech,D,0,0.0
2024,154,Boston Bruins,Jonathan Morello,C,0,0.0
2024,155,Winnipeg Jets,Markus Loponen,C,0,0.0
2024,156,Carolina Hurricanes,Justin Poirier,RW,0,0.0
2024,157,Toronto Maple Leafs,Timofei Obvintsev,G,0,0.0
2024,158,Dallas Stars,Niilopekka Muhonen,D,0,0.0
2024,159,New York Rangers,Nathan Aspinall,LW,0,0.0
2024,160,Edmonton Oilers,Connor Clattenburg,LW,5,0.1274290669607867
2024,161,Colorado Avalanche,Maxmilian Curran,C,0,0.0
2024,162,Vancouver Canucks,Anthony Romani,RW,0,0.0
2024,163,Chicago Blackhawks,Ty Henry,D,0,0.0
2024,164,Los Angeles Kings,Jared Woolley,D,0,0.0
2024,165,Columbus Blue Jackets,Luke Ashton,D,0,0.0
2024,166,Montréal Canadiens,Ben Merrill,C,0,0.0
2024,167,Utah Hockey Club,Vojtech Hradec,C,0,0.0
2024,168,Carolina Hurricanes,Timur Kol,D,0,0.0
2024,169,Florida Panthers,Stepan Gorbunov,C,0,0.0
2024,170,Calgary Flames,Hunter Laing,C,0,0.0
2024,171,New Jersey Devils,Matyas Melovsky,C,0,0.0
2024,172,Buffalo Sabres,Patrick Geary,D,0,0.0
2024,173,Philadelphia Flyers,Ilya Pautov,RW,0,0.0
2024,174,Minnesota Wild,Stevie Leskovar,D,0,0.0
2024,175,Pittsburgh Penguins,Joona Väisänen,D,0,0.0
2024,176,Detroit Red Wings,Charlie Forslund,LW,0,0.0
2024,177,Calgary Flames,Eric Jamieson,D,0,0.0
2024,178,Washington Capitals,Petr Sikora,C,0,0.0
2024,179,New York Islanders,Xavier Veilleux,D,0,0.0
2024,180,Vegas Golden Knights,Trent Swick,LW,0,0.0
2024,181,Tampa Bay Lightning,Kaden Pitre,C,0,0.0
2024,182,Anaheim Ducks,Austin Burnevik,RW,0,0.0
2024,183,Edmonton Oilers,Albin Sundin,D,0,0.0
2024,184,Carolina Hurricanes,Roman Shokhrin,D,0,0.0
2024,185,Colorado Avalanche,Tory Pitner,D,0,0.0
2024,186,Boston Bruins,Loke Johansson,D,0,0.0
2024,187,Winnipeg Jets,Kieron Walton,C,0,0.0
2024,188,Carolina Hurricanes,Fyodor Avramov,LW,0,0.0
2024,189,Vancouver Canucks,Parker Alcos,D,0,0.0
2024,190,Utah Hockey Club,Ludvig Lafton,D,0,0.0
2024,191,New York Rangers,Rico Gredig,LW,0,0.0
2024,192,Edmonton Oilers,Dalyn Wakely,C,0,0.0
2024,193,Florida Panthers,Hunter St. Martin,LW,0,0.0
2024,194,San Jose Sharks,Yaroslav Korostelyov,G,0,0.0
2024,195,Tampa Bay Lightning,Joe Connor,LW,0,0.0
2024,196,Edmonton Oilers,William Nicholl,C,0,0.0
2024,197,Vegas Golden Knights,Lucas Van Vliet,C,0,0.0
2024,198,Los Angeles Kings,James Reeder,RW,0,0.0
2024,199,Tampa Bay Lightning,Noah Steen,LW,0,0.0
2024,200,Toronto Maple Leafs,Matt Lahey,D,0,0.0
2024,201,Florida Panthers,Denis Gabdrakhmanov,G,0,0.0
2024,202,Seattle Kraken,Jakub Fibigr,D,0,0.0
2024,203,Detroit Red Wings,Austin Baker,LW,0,0.0
2024,204,Buffalo Sabres,Vasily Zelenov,RW,0,0.0
2024,205,Philadelphia Flyers,Austin Moline,D,0,0.0
2024,206,Tampa Bay Lightning,Harrison Meneghin,G,0,0.0
2024,207,Pittsburgh Penguins,Mac Swanson,C,0,0.0
2024,208,Detroit Red Wings,Fisher Scott,D,0,0.0
2024,209,St. Louis Blues,Antoine Dorion,C,0,0.0
2024,210,Montréal Canadiens,Makar Khanin,RW,0,0.0
2024,211,St. Louis Blues,Matvei Korotky,C,0,0.0
2024,212,Washington Capitals,Miroslav Satan,C,0,0.0
2024,213,Nashville Predators,Erik Påhlsson,C,0,0.0
2024,214,Anaheim Ducks,Darels Uljanskis,D,0,0.0
2024,215,Colorado Avalanche,Christian Humphreys,C,0,0.0
2024,216,Toronto Maple Leafs,Sam McCue,LW,0,0.0
2024,217,Colorado Avalanche,Nikita Prishchepov,C,10,-0.1759141575379101
2024,218,Edmonton Oilers,Bauer Berry,D,0,0.0
2024,219,Buffalo Sabres,Ryerson Leenders,G,0,0.0
2024,220,Carolina Hurricanes,Andrey Krutov,LW,0,0.0
2024,221,Vancouver Canucks,Basile Sansonnens,D,0,0.0
2024,222,Dallas Stars,William Samuelsson,C,0,0.0
2024,223,Pittsburgh Penguins,Finn Harding,D,0,0.0
2024,224,Montréal Canadiens,Rasmus Bergqvist,D,0,0.0
2024,225,Toronto Maple Leafs,Nathan Mayes,D,0,0.0
2025,1,New York Islanders,Matthew Schaefer,D,82,8.621393272805836
2025,2,San Jose Sharks,Michael Misa,C,45,2.233167926962889
2025,3,Chicago Blackhawks,Anton Frondell,C,12,1.0872857877177506
