First Name,Last Name,Position,GP,Salary,PS,draft_overall,age,position_group,predicted_value_total
Robert,Bortuzzo,D,38,1050000,2.0,78.0,28,D,0.711971662556168
Fredrik,Claesson,D,33,700000,2.4,126.0,25,D,1.1875352567024355
Zach,Bogosian,D,56,5250000,1.4,3.0,27,D,2.1972462854171684
Nathan,MacKinnon,C/RW,82,5000000,4.8,1.0,22,F,5.8625006716644235
Chris,Wagner,C/RW,43,625000,0.9,122.0,26,F,0.7234824056389687
Francois,Beauchemin,D,81,4500000,3.7,75.0,37,D,4.235553526360757
Eric,Gryba,D,40,950000,1.0,68.0,29,D,0.9765560515876439
Jean-Gabriel,Pageau,C,82,1100000,3.4,96.0,25,F,4.514799519897847
Frederick,Gaudreau,C,9,595000,0.0,300.0,24,F,-0.0421402849918273
Troy,Brouwer,RW,74,4500000,1.7,214.0,32,F,3.2837006117632095
PA,Parenteau,RW,67,1250000,2.4,264.0,34,F,3.2164732331579584
Justin,Bailey,RW,32,692500,0.1,52.0,22,F,0.09777717075797132
Adam,Pelech,D,44,925000,1.4,65.0,23,D,1.7733083550405757
T.J.,Brodie,D,82,4838000,5.3,114.0,27,D,5.7140921577561805
Jonathan,Marchessault,C,75,750000,6.2,300.0,27,F,6.21330616489358
Mikkel,Boedker,LW/RW,81,5200000,2.1,8.0,28,F,2.7481534139994026
Stefan,Noesen,RW,44,600000,1.6,21.0,24,F,0.731336412456731
Andrew,Copp,C,64,925000,1.7,104.0,23,F,1.7641869675687838
Patric,Hornqvist,RW,70,4750000,5.5,230.0,30,F,6.091986968731274
Connor,Brown,RW,82,650000,4.0,156.0,23,F,4.776400940023087
Adam,Henrique,C,82,4500000,3.9,82.0,27,F,5.46096530828848
Brock,McGinn,LW,57,800000,1.1,47.0,23,F,1.4011381718511735
Kyle,Rau,C,24,925000,0.1,91.0,25,F,-0.08060884467273832
Jesper,Fast,RW/LW,68,1000000,1.5,157.0,26,F,2.464690339291519
Brian,Boyle,C/LW,75,2000000,2.7,26.0,33,F,2.8740044222137726
Michael,Matheson,D,81,925000,4.4,23.0,23,D,3.4820561892627784
