First Name,Last Name,Position,GP,Salary,PS,position_group,predicted_value_total,replacement_level,value_above_replacement,fair_market_salary,surplus_value
Josh,Leivo,LW,13,575000,1.1,F,0.9396613164984716,0.1316814807474696,0.807979835751002,1422864.0005050946,847864.0005050946
Jake,Guentzel,C/LW,40,667500,4.4,F,3.841030401484778,0.1316814807474696,3.709348920737308,3023992.0228908435,2356492.0228908435
Danny,DeKeyser,D,82,4000000,2.0,D,3.564345727204296,0.6185429142735327,2.9458028129307636,2602627.131426716,-1397372.8685732838
Ty,Rattie,RW,9,650000,0.0,F,0.0455659186120993,0.1316814807474696,-0.0861155621353703,929455.1461646055,279455.1461646055
Alex,Petrovic,D,49,1200000,2.7,D,1.8017420760014775,0.6185429142735327,1.183199161727945,1629929.754555897,429929.7545558971
Kevin,Gravel,D,49,667500,2.3,D,1.3103296053297464,0.6185429142735327,0.6917866910562137,1358742.5135344614,691242.5135344614
Brendan,Guhle,D,3,667500,0.1,D,0.071934781102417,0.6185429142735327,-0.5466081331711157,675331.1316084664,7831.131608466385
Duncan,Keith,D,80,6000000,9.5,D,7.146351521503974,0.6185429142735327,6.527808607230441,4579366.279603173,-1420633.720396827
Kevin,Fiala,LW,54,925000,1.8,F,1.6027758855535674,0.1316814807474696,1.4710944048060979,1788805.4879430416,863805.4879430416
Derek,Ryan,C,67,600000,2.6,F,3.2830675913898504,0.1316814807474696,3.1513861106423806,2716078.805191309,2116078.805191309
Tom,Pyatt,LW/C,82,800000,1.8,F,3.4841255346484017,0.1316814807474696,3.352444053900932,2827033.1504141716,2027033.1504141716
Brendan,Gallagher,RW,64,4500000,3.0,F,3.051730031105856,0.1316814807474696,2.9200485503583864,2588414.5751153193,-1911585.4248846807
Tyler,Motte,LW/C,33,925000,0.6,F,0.7112973470086168,0.1316814807474696,0.5796158662611473,1296840.7541882005,371840.75418820046
Clayton,Keller,C/LW,3,900000,0.0,F,0.1188700302594102,0.1316814807474696,-0.0128114504880594,969908.2094863156,69908.20948631561
Matt,Tennyson,D,45,675000,0.3,D,0.5819120560123241,0.6185429142735327,-0.0366308582612086,956763.4077926689,281763.4077926689
Jeff,Skinner,LW/C/RW,79,6000000,8.8,F,8.166038441260254,0.1316814807474696,8.034356960512785,5410758.8790493235,-589241.1209506765
Ben,Street,C,6,600000,0.1,F,-0.050983454886959,0.1316814807474696,-0.1826649356344286,876174.1250587162,276174.12505871616
